Descriptores,2008|Artes visuales y plásticas,2008|Artes escénicas y espectáculos,2008|Música y conciertos,"2008|Libros, impresiones y prensa",2008|Medios audiovisuales,2008|Artesanías,2008|Diseño y servicios creativos,2008|Patrimonio cutural y natural,2008|Formación y difusión cultural,2008|Contenidos digitales e internet,2008|Total cultura,2008|Valor agregado bruto,2009|Artes visuales y plásticas,2009|Artes escénicas y espectáculos,2009|Música y conciertos,"2009|Libros, impresiones y prensa",2009|Medios audiovisuales,2009|Artesanías,2009|Diseño y servicios creativos,2009|Patrimonio cutural y natural,2009|Formación y difusión cultural,2009|Contenidos digitales e internet,2009|Total cultura,2009|Valor agregado bruto,2010|Artes visuales y plásticas,2010|Artes escénicas y espectáculos,2010|Música y conciertos,"2010|Libros, impresiones y prensa",2010|Medios audiovisuales,2010|Artesanías,2010|Diseño y servicios creativos,2010|Patrimonio cutural y natural,2010|Formación y difusión cultural,2010|Contenidos digitales e internet,2010|Total cultura,2010|Valor agregado bruto,2011|Artes visuales y plásticas,2011|Artes escénicas y espectáculos,2011|Música y conciertos,"2011|Libros, impresiones y prensa",2011|Medios audiovisuales,2011|Artesanías,2011|Diseño y servicios creativos,2011|Patrimonio cutural y natural,2011|Formación y difusión cultural,2011|Contenidos digitales e internet,2011|Total cultura,2011|Valor agregado bruto,2012|Artes visuales y plásticas,2012|Artes escénicas y espectáculos,2012|Música y conciertos,"2012|Libros, impresiones y prensa",2012|Medios audiovisuales,2012|Artesanías,2012|Diseño y servicios creativos,2012|Patrimonio cutural y natural,2012|Formación y difusión cultural,2012|Contenidos digitales e internet,2012|Total cultura,2012|Valor agregado bruto,2013|Artes visuales y plásticas,2013|Artes escénicas y espectáculos,2013|Música y conciertos,"2013|Libros, impresiones y prensa",2013|Medios audiovisuales,2013|Artesanías,2013|Diseño y servicios creativos,2013|Patrimonio cutural y natural,2013|Formación y difusión cultural,2013|Contenidos digitales e internet,2013|Total cultura,2013|Valor agregado bruto,2014|Artes visuales y plásticas,2014|Artes escénicas y espectáculos,2014|Música y conciertos,"2014|Libros, impresiones y prensa",2014|Medios audiovisuales,2014|Artesanías,2014|Diseño y servicios creativos,2014|Patrimonio cutural y natural,2014|Formación y difusión cultural,2014|Contenidos digitales e internet,2014|Total cultura,2014|Valor agregado bruto,2015|Artes visuales y plásticas,2015|Artes escénicas y espectáculos,2015|Música y conciertos,"2015|Libros, impresiones y prensa",2015|Medios audiovisuales,2015|Artesanías,2015|Diseño y servicios creativos,2015|Patrimonio cutural y natural,2015|Formación y difusión cultural,2015|Contenidos digitales e internet,2015|Total cultura,2015|Valor agregado bruto,2016|Artes visuales y plásticas,2016|Artes escénicas y espectáculos,2016|Música y conciertos,"2016|Libros, impresiones y prensa",2016|Medios audiovisuales,2016|Artesanías,2016|Diseño y servicios creativos,2016|Patrimonio cutural y natural,2016|Formación y difusión cultural,2016|Contenidos digitales e internet,2016|Total cultura,2016|Valor agregado bruto,2017|Artes visuales y plásticas,2017|Artes escénicas y espectáculos,2017|Música y conciertos,"2017|Libros, impresiones y prensa",2017|Medios audiovisuales,2017|Artesanías,2017|Diseño y servicios creativos,2017|Patrimonio cutural y natural,2017|Formación y difusión cultural,2017|Contenidos digitales e internet,2017|Total cultura,2017|Valor agregado bruto,2018|Artes visuales y plásticas,2018|Artes escénicas y espectáculos,2018|Música y conciertos,"2018|Libros, impresiones y prensa",2018|Medios audiovisuales,2018|Artesanías,2018|Diseño y servicios creativos,2018|Patrimonio cutural y natural,2018|Formación y difusión cultural,2018|Contenidos digitales e internet,2018|Total cultura,2018|Valor agregado bruto,2019|Artes visuales y plásticas,2019|Artes escénicas y espectáculos,2019|Música y conciertos,"2019|Libros, impresiones y prensa",2019|Medios audiovisuales,2019|Artesanías,2019|Diseño y servicios creativos,2019|Patrimonio cutural y natural,2019|Formación y difusión cultural,2019|Contenidos digitales e internet,2019|Total cultura,2019|Valor agregado bruto<C1>,2020|Artes visuales y plásticas,2020|Artes escénicas y espectáculos,2020|Música y conciertos,"2020|Libros, impresiones y prensa",2020|Medios audiovisuales,2020|Artesanías,2020|Diseño y servicios creativos,2020|Patrimonio cutural y natural,2020|Formación y difusión cultural,2020|Contenidos digitales e internet,2020|Total cultura,2020|Valor agregado bruto<C1>,2021|Artes visuales y plásticas,2021|Artes escénicas y espectáculos,2021|Música y conciertos,"2021|Libros, impresiones y prensa",2021|Medios audiovisuales,2021|Artesanías,2021|Diseño y servicios creativos,2021|Patrimonio cutural y natural,2021|Formación y difusión cultural,2021|Contenidos digitales e internet,2021|Total cultura,2021|Valor agregado bruto<C1>,2022|Artes visuales y plásticas<P>,2022|Artes escénicas y espectáculos<P>,2022|Música y conciertos<P>,"2022|Libros, impresiones y prensa<P>",2022|Medios audiovisuales<P>,2022|Artesanías<P>,2022|Diseño y servicios creativos<P>,2022|Patrimonio cutural y natural<P>,2022|Formación y difusión cultural<P>,2022|Contenidos digitales e internet<P>,2022|Total cultura<P>,"2022|Valor agregado bruto<C2,P>",2023|Artes visuales y plásticas<P>,2023|Artes escénicas y espectáculos<P>,2023|Música y conciertos<P>,"2023|Libros, impresiones y prensa<P>",2023|Medios audiovisuales<P>,2023|Artesanías<P>,2023|Diseño y servicios creativos<P>,2023|Patrimonio cutural y natural<P>,2023|Formación y difusión cultural<P>,2023|Contenidos digitales e internet<P>,2023|Total cultura<P>,"2023|Valor agregado bruto<C2,P>"
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Nuevo León,4.112,12.037,6.998,7.446,17.294,2.832,17.485,3.862,8.036,19.899,100,2.522,3.958,12.266,7.563,7.663,16.233,2.872,17.509,3.927,8.177,19.832,100,2.619,4.234,13.053,6.739,7.332,15.057,3.037,17.901,4.144,8.151,20.353,100,2.344,4.359,13.012,7.831,7.276,15.625,3.14,17.463,4.123,7.893,19.276,100,2.313,4.49,13.339,6.369,7.441,16.765,3.259,18.025,4.207,7.98,18.125,100,2.199,4.513,13.561,5.866,7.035,18.506,3.194,17.598,4.223,7.815,17.689,100,2.263,4.445,12.922,5.492,6.595,22.1,3.105,17.379,3.859,7.384,16.717,100,2.302,4.403,12.811,5.649,6.358,24.545,3.08,17.286,3.846,6.935,15.086,100,2.287,4.953,13.866,5.397,6.38,24.08,2.989,18.023,3.824,6.837,13.651,100,2.19,4.723,13.659,4.965,5.92,25.381,3.224,17.795,3.738,6.426,14.168,100,2.111,4.85,14.471,4.782,5.575,24.206,3.298,17.928,3.902,6.586,14.403,100,1.973,4.763,15.053,5.972,5.13,23.465,3.332,17.863,3.883,6.522,14.017,100,1.964,3.987,13.165,3.716,5.027,19.662,4.055,21.369,2.355,8.122,18.541,100,1.651,4.609,14.103,3.496,4.706,17.51,3.965,21.2,5.329,7.121,17.961,100,1.684,5.884,16.009,3.049,5.304,17.211,3.956,21.035,4.788,6.289,16.475,100,1.764,6.143,17.009,2.976,4.436,15.967,3.759,21.955,4.586,6.553,16.616,100,1.713
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Oaxaca,2.373,0.555,10.412,10.888,2.83,53.146,4.114,10.116,3.421,2.145,100,6.8,2.251,0.646,11.407,11.183,2.884,51.742,4.192,10.203,3.403,2.089,100,7.054,2.328,0.601,9.842,9.309,2.933,55.391,4.217,10.121,3.215,2.043,100,6.726,2.317,0.585,10.941,8.831,2.999,55.703,3.897,9.762,3.054,1.912,100,6.705,2.351,0.521,8.761,9.233,3.216,57.016,4.011,10.026,3.067,1.798,100,6.38,2.427,0.497,7.587,8.435,3.569,58.516,3.778,10.35,3.048,1.793,100,6.671,2.436,0.387,7.348,8.269,4.146,58.678,3.917,9.993,3.051,1.776,100,6.386,2.315,0.375,7.764,7.691,4.123,59.452,4.089,9.848,2.776,1.567,100,6.566,2.378,0.371,6.987,7.591,3.887,61.655,4.018,9.065,2.619,1.429,100,7.099,2.426,0.301,6.276,7.302,3.977,62.503,3.912,9.337,2.497,1.469,100,6.926,2.399,0.325,5.375,6.429,3.572,65.011,3.743,9.277,2.446,1.422,100,6.561,1.976,0.211,7.028,5.894,3.63,62.297,3.556,11.606,2.328,1.475,100,7.091,3.634,2.926,5.125,5.796,3.306,64.973,4.342,4.825,3.217,1.855,100,5.088,1.854,0.387,3.539,5.224,3.241,72.646,4.34,4.346,2.688,1.735,100,5.368,2.031,0.268,2.197,5.412,3.569,65.869,4.287,12.665,2.23,1.471,100,5.628,2.664,0.849,2.166,5.222,3.842,67.113,4.128,9.997,2.442,1.577,100,4.908
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Puebla,3.49,3.001,11.664,12.245,6.272,29.665,8.226,8.493,13.646,3.298,100,4.111,3.379,3.286,12.475,12.289,6.216,29.202,8.037,8.467,13.363,3.286,100,4.322,3.676,3.442,11.28,10.628,6.078,31.283,8.192,8.845,13.168,3.408,100,4.009,3.716,3.52,12.54,10.224,6.363,31.217,7.817,8.696,12.729,3.177,100,3.828,3.805,3.609,10.405,10.654,7.068,31.465,8.047,9.007,12.777,3.164,100,3.63,3.929,3.747,9.323,9.757,8.136,31.907,7.856,9.283,12.846,3.215,100,3.639,3.937,3.666,8.873,9.293,10.347,31.599,7.92,8.753,12.511,3.101,100,3.716,3.774,3.52,9.41,8.875,10.63,32.19,8.163,8.865,11.79,2.783,100,3.779,4.124,3.635,8.861,9.012,9.583,33.11,8.569,8.772,11.621,2.712,100,3.608,4.129,3.756,7.689,8.663,9.498,35.255,8.321,8.941,11.197,2.552,100,3.356,4.031,3.609,7.402,7.962,8.758,36.441,8.346,9.369,11.462,2.619,100,3.274,3.947,3.776,8.692,7.507,8.278,36.803,8.109,9.141,11.217,2.53,100,3.304,3.198,3.02,5.59,6.68,6.066,39.908,9.159,9.143,14.265,2.973,100,2.733,2.751,2.341,4.915,6.389,5.575,44.737,9.467,8.257,12.817,2.751,100,2.837,3.399,2.732,4.25,7.911,6.111,43.505,10.079,7.967,11.383,2.662,100,2.937,3.787,3.401,4.128,7.22,6.201,40.158,9.936,10.229,12.127,2.813,100,2.824
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Querétaro,1.276,2.177,20.968,8.385,27.095,8.973,13.444,5.177,7.366,5.138,100,3.839,1.177,2.295,22.652,8.582,25.176,8.723,13.516,5.239,7.412,5.229,100,3.848,1.496,2.438,19.843,8.518,23.237,10.238,14.682,5.799,7.945,5.803,100,3.163,1.389,2.386,23.351,7.837,24.191,10.062,13.237,5.309,7.207,5.031,100,3.166,1.483,2.504,19.021,8.823,23.623,11.105,14.651,5.848,7.76,5.182,100,2.834,1.486,2.597,18.225,8.219,24.847,11.167,14.409,6.071,7.763,5.215,100,2.791,1.525,2.469,17.945,7.736,26.938,10.836,14.425,5.662,7.497,4.966,100,2.812,1.331,2.314,17.666,7.223,29.968,10.797,14.024,5.535,6.821,4.322,100,2.805,1.587,2.324,15.802,7.236,30.535,10.836,14.528,5.258,6.661,5.233,100,2.651,1.458,2.335,14.419,6.996,32.699,11.208,14.46,5.418,6.381,4.626,100,2.555,1.443,2.484,13.903,6.446,31.993,12.212,14.551,5.678,6.556,4.733,100,2.411,1.349,2.379,16.507,5.781,32.791,11.905,13.938,5.531,6.399,3.42,100,2.465,1.517,2.49,9.885,5.621,28.208,13.421,17.592,7.693,8.495,5.078,100,1.943,1.529,2.61,8.685,5.689,27.369,15.338,18.212,7.727,7.925,4.916,100,1.916,1.774,2.886,5.681,8,25.851,15.802,19.816,7.864,7.504,4.821,100,1.906,1.84,3.596,4.743,7.445,23.868,15.711,21.304,8.103,8.14,5.25,100,1.785
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Quintana Roo,11.332,12.772,4.352,5.202,7.367,37.956,5.179,8.312,4.187,3.341,100,5.927,10.976,13.324,4.853,5.42,7.665,36.145,5.05,8.726,4.314,3.527,100,6.124,11.345,13.332,4.209,4.768,8.053,36.92,5.002,8.73,4.109,3.532,100,5.955,10.993,13.044,4.475,4.383,8.09,39.633,4.605,7.929,3.759,3.089,100,6.257,10.989,12.801,3.511,4.359,8.366,40.226,4.57,8.431,3.656,3.09,100,6.126,11.704,13.302,3.123,4.156,8.664,39.643,4.652,7.982,3.726,3.049,100,5.847,11.835,13.233,3.015,4.037,9.045,39.81,4.804,7.544,3.701,2.977,100,5.574,11.693,12.874,3.296,3.91,9.022,40.295,4.858,7.833,3.524,2.696,100,5.47,12.847,13.845,3.183,4.056,9.619,37.972,5.044,7.804,3.578,2.053,100,4.825,12.95,13.617,2.821,3.769,9.522,39.639,4.951,7.418,3.339,1.974,100,4.799,12.575,13.386,2.463,3.344,8.946,41.797,4.776,7.55,3.23,1.933,100,4.834,12.885,14.132,3.061,3.149,9.018,42.014,4.69,5.987,3.321,1.743,100,4.598,9.659,13.179,1.571,2.827,5.696,50.989,5.044,4.845,3.968,2.223,100,4.724,11.658,15.06,1.41,2.708,5.88,47.029,5.246,5.513,3.53,1.965,100,4.627,14.829,16.667,1.099,2.835,6.066,43.068,4.573,6.186,2.914,1.763,100,5.008,15.296,17.419,0.957,2.406,6.633,41.668,4.485,6.453,2.932,1.752,100,4.668
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|San Luis Potosí,4.059,6.375,11.97,13.748,10.217,9.501,9.81,20.009,8.079,6.231,100,2.187,3.83,6.432,12.746,13.752,10.192,9.102,9.748,20.158,7.924,6.117,100,2.303,4.037,6.87,11.66,12.37,10.582,9.839,9.795,20.65,7.825,6.371,100,2.083,4.085,6.743,12.655,11.692,10.658,10.043,9.99,20.949,7.367,5.818,100,2.057,4.131,6.992,10.53,12.141,11.716,10.647,9.799,20.854,7.489,5.702,100,1.943,4.228,7.139,9.294,11.256,12.94,10.717,9.897,21.45,7.423,5.657,100,1.919,4.232,7.04,8.959,10.922,15.321,10.71,9.804,20.199,7.313,5.498,100,1.867,4.209,6.847,9.622,10.511,15.976,10.849,9.816,20.196,6.967,5.007,100,1.794,4.456,7.459,9.04,10.491,15.037,10.825,10.141,19.984,6.676,5.89,100,1.675,4.528,7.418,8.322,10.114,15.252,11.498,10.029,20.516,6.38,5.944,100,1.529,4.787,6.894,7.806,9.638,14.395,12.475,10.593,20.447,6.684,6.283,100,1.445,4.265,7.186,8.812,8.302,13.855,11.39,8.694,25.456,6.063,5.976,100,1.645,4.034,7.37,5.94,8.621,11.415,14.953,10.359,21.786,8.317,7.206,100,1.21,4.787,8.064,5.485,8.631,11.652,15.709,11.472,19.33,7.766,7.106,100,1.197,5.867,9.213,4.684,9.446,12.907,15.38,11.016,18.623,6.668,6.196,100,1.265,5.931,9.806,4.206,8.004,12.809,14.836,10.604,21.211,6.65,5.942,100,1.235
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Sinaloa,2.682,4.294,12.042,8.381,15.335,8.568,24.436,3.013,11.542,9.707,100,2.513,2.525,4.224,12.593,8.413,15.489,8.25,23.91,2.993,11.412,10.19,100,2.526,2.65,4.417,12.552,7.494,14.711,8.787,24.982,3.018,10.899,10.491,100,2.481,2.625,4.448,12.784,7.34,15.612,9.254,24.916,2.984,10.5,9.536,100,2.436,2.583,4.473,11.569,7.284,16.917,9.481,25.338,2.985,10.22,9.15,100,2.427,2.522,4.494,11.001,6.581,18.976,9.197,25.537,2.939,9.74,9.012,100,2.5,2.449,4.223,10.371,6.097,23.669,8.791,24.289,2.679,9.131,8.3,100,2.685,2.34,4.065,10.211,5.799,24.288,8.804,25.872,2.671,8.546,7.403,100,2.706,2.552,4.264,10.43,5.927,22.59,9.281,26.659,2.608,8.512,7.178,100,2.449,2.641,4.453,11.389,5.709,23.048,9.946,25.144,2.705,8.154,6.811,100,2.361,2.901,4.75,10.32,5.374,21.825,10.869,25.358,2.898,8.55,7.154,100,2.268,3.004,4.748,12.691,5.12,21.604,11.201,26.521,2.738,8.66,3.713,100,2.183,2.327,3.869,7.767,4.798,16.88,13.534,27.651,3.398,10.967,8.808,100,1.794,2.734,4.489,9.575,4.408,14.55,13.273,26.343,7.581,9.475,7.571,100,1.869,3.567,5.585,11.476,5.635,16.609,13.389,25.725,2.631,8.409,6.975,100,1.927,3.672,6.112,11.688,4.725,15.828,13.247,26.522,3.179,8.4,6.628,100,1.964
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Sonora,3.62,4.359,10.961,12.92,17.099,5.744,12.9,6.714,8.679,17.004,100,1.644,3.394,4.363,11.688,12.655,16.988,5.466,12.625,6.754,8.54,17.527,100,1.742,3.588,4.586,10.484,12.027,17.011,5.886,12.853,6.992,8.359,18.214,100,1.642,3.567,4.593,11.954,11.879,18.132,6.099,12.453,6.881,7.949,16.492,100,1.516,3.66,4.727,9.991,11.94,18.664,6.534,12.951,7.084,8.094,16.355,100,1.424,3.653,4.868,9.232,11.312,20.276,6.327,12.736,7.21,7.948,16.44,100,1.395,3.661,4.681,8.949,10.759,22.898,6.195,12.784,6.815,7.644,15.613,100,1.43,3.627,4.606,9.379,10.357,24.02,6.394,13.205,6.939,7.239,14.234,100,1.387,4.146,5.017,9.718,10.865,24.662,6.614,14.031,6.978,7.352,10.617,100,1.214,4.018,5.106,8.709,10.21,24.347,6.831,13.786,7.046,6.901,13.047,100,1.196,4.237,5.385,8.291,9.515,23.669,7.435,13.742,7.38,7.054,13.291,100,1.187,4.402,6.506,9.884,8.833,23.888,7.577,14.139,7.037,7.123,10.61,100,1.163,3.687,5.235,6.192,8.255,17.301,8.402,15.897,6.959,8.506,19.565,100,0.976,4.086,5.888,6.043,7.893,17.649,9.037,16.385,6.57,7.749,18.702,100,0.94,5.032,6.97,5.151,7.919,20.358,8.506,16.17,6.4,6.804,16.69,100,0.994,5.227,7.772,4.749,6.096,20.179,8.107,16.616,7.628,6.916,16.709,100,0.958
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Tabasco,3.781,3.373,13.242,15.03,9.467,6.119,9.867,8.956,12.484,17.68,100,0.928,3.534,3.27,14.238,15.16,9.396,6.004,9.754,8.831,12.301,17.511,100,1.06,3.744,3.499,12.908,13.488,9.811,6.484,9.998,9.196,12.057,18.815,100,0.896,3.844,3.431,14.812,13.223,9.969,6.674,9.798,8.439,11.825,17.986,100,0.75,3.966,3.613,11.933,13.656,10.935,6.856,10.373,8.954,11.809,17.905,100,0.741,4.092,3.8,10.573,12.785,12.305,7.056,10.056,9.39,11.862,18.081,100,0.772,4.296,3.782,10.099,12.278,14.309,7.203,9.98,9.141,11.536,17.377,100,0.798,4.335,3.73,11.13,11.931,15.036,7.435,10.183,9.322,11.021,15.879,100,1.145,5.156,3.75,10.662,12.388,15.091,7.481,10.433,9.282,11.024,14.732,100,1.154,4.788,3.921,9.929,11.962,15.586,7.945,10.357,9.577,10.695,15.24,100,1.068,4.919,4.064,8.981,11.063,15.042,8.689,10.242,10.074,10.963,15.963,100,1.086,5.254,4.266,10.931,9.924,14.734,8.385,9.997,9.759,10.579,16.171,100,1.118,4.81,3.865,6.924,9.32,9.442,9.673,11.824,11.686,13.844,18.613,100,0.873,5.033,4.092,5.916,9.36,9.812,10.718,12.476,10.704,13.073,18.815,100,0.753,6.48,5.044,3.478,7.524,12.074,11.433,11.736,10.342,12.451,19.438,100,0.651,6.629,5.536,3.136,6.342,12.613,10.639,11.545,11.535,12.244,19.782,100,0.654
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Tamaulipas,1.671,2.209,22.589,5.721,34.411,1.675,3.477,3.244,3.192,21.811,100,3.452,1.613,2.25,24.725,5.851,31.556,1.699,3.457,3.39,3.244,22.215,100,3.777,1.877,2.529,21.961,5.987,29.807,1.971,3.864,3.819,3.515,24.669,100,3.255,1.808,2.544,26.049,5.521,30.489,1.931,3.476,3.611,3.177,21.393,100,3.532,2.06,2.834,22.129,6.335,30.678,2.228,3.919,4.118,3.557,22.142,100,3.037,2.113,2.949,21.42,5.957,31.586,2.196,3.848,4.265,3.552,22.113,100,3.042,2.109,2.827,21.346,5.688,33.092,2.207,3.867,4.033,3.459,21.372,100,3.02,2.014,2.632,20.707,5.237,38.037,2.123,3.724,3.902,3.12,18.506,100,3.145,2.216,2.797,18.864,5.376,42.396,2.153,3.84,3.993,3.102,15.264,100,3.033,2.169,2.765,16.588,5.006,44.664,2.263,3.726,4.169,2.891,15.759,100,2.996,2.242,2.847,16.169,4.637,44.301,2.445,3.778,4.512,2.98,16.089,100,2.845,2.111,2.738,19.117,4.05,45.489,2.334,3.478,3.758,2.879,14.046,100,2.849,1.974,2.555,11.955,4.029,43.593,2.983,4.359,3.462,3.857,21.233,100,2.215,2.378,3.106,11.076,4.092,43.904,3.256,4.833,3.479,3.68,20.195,100,2.137,3.267,4.084,7.665,5.919,43.006,3.386,5.764,4.028,3.501,19.379,100,2.064,3.652,4.789,6.554,5.317,40.194,3.385,5.966,6.023,3.859,20.262,100,1.971
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Tlaxcala,2.742,1.173,12.284,14.278,10.457,31.768,5.852,9.009,6.161,6.276,100,4.813,2.594,1.363,13.622,14.816,8.303,31.388,5.98,9.273,6.184,6.476,100,4.883,2.805,1.316,12.164,12.855,7.747,34.536,6.261,9.572,6.068,6.676,100,4.442,2.883,1.389,13.789,12.351,7.248,35.299,5.839,9.263,5.818,6.122,100,4.358,2.941,1.298,10.89,12.834,7.831,37.093,6.004,9.425,5.821,5.863,100,4.218,3.08,1.301,9.502,11.77,8.446,38.511,5.713,9.884,5.82,5.972,100,4.153,3.11,1.232,9.151,11.412,9.794,38.413,5.84,9.509,5.719,5.819,100,4.099,2.961,1.15,9.657,10.593,12.355,37.605,6.063,9.322,5.209,5.085,100,4.2,3.059,1.046,8.566,10.414,14.128,38.097,5.745,8.64,4.89,5.415,100,4.202,3.083,1.003,7.463,9.805,15.901,39.364,5.427,8.884,4.531,4.538,100,4.108,3.168,1.103,6.669,9.062,15.302,41.041,5.456,9.456,4.658,4.085,100,3.941,2.545,0.929,9.234,8.43,15.453,41.094,5.054,8.43,4.47,4.362,100,4.038,4.244,4.54,5.426,6.658,13.657,44.033,4.938,7.033,4.966,4.505,100,3.839,2.121,1.186,4.164,7.001,13.989,50.11,5.747,6.207,4.844,4.63,100,3.557,2.501,1.096,2.615,8.263,12.86,49.819,6.328,8.406,4.165,3.947,100,3.765,3.161,2.084,2.363,7.44,11.253,49.966,5.678,9.615,4.248,4.192,100,3.73
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Veracruz de Ignacio de la Llave,2.636,2.64,11.553,13.995,8.356,18.112,7.468,9.533,10.427,15.281,100,1.681,2.465,2.616,12.337,14.084,8.224,17.385,7.416,9.641,10.268,15.564,100,1.716,2.567,2.719,11.094,12.367,8.805,18.749,7.565,9.786,10.09,16.258,100,1.56,2.622,2.752,12.464,12.064,9.071,19.406,7.269,9.475,9.842,15.036,100,1.527,2.601,2.773,10.172,12.437,9.802,20.411,7.467,9.581,9.879,14.876,100,1.436,2.662,2.908,8.979,11.538,10.79,20.69,7.28,10.087,9.934,15.132,100,1.469,2.786,2.868,8.66,11.154,12.071,20.785,7.44,9.804,9.81,14.622,100,1.509,2.773,2.814,9.439,10.779,12.766,21.069,7.795,10.004,9.344,13.217,100,1.574,3.22,2.962,9.09,11.222,13.545,22.07,8.236,10.003,9.448,10.203,100,1.544,2.99,3.144,8.301,10.688,13.636,22.956,8.082,10.565,9.057,10.582,100,1.567,3.07,3.319,7.372,9.757,13.07,24.027,8.069,11.114,9.224,10.978,100,1.549,2.897,3.477,9.158,8.894,13.143,23.415,7.688,10.588,8.932,11.808,100,1.544,2.697,2.99,5.694,8.465,8.831,28.152,9.141,9.991,11.689,12.35,100,1.233,2.9,3.354,4.877,8.14,9.5,29.614,9.547,9.837,10.6,11.632,100,1.247,3.454,3.802,3.918,9.939,10.465,28.505,10.157,10.174,9.155,10.431,100,1.361,3.521,4.329,3.484,8.544,10.954,27.666,9.676,12.65,9.343,9.834,100,1.36
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Yucatán,5.113,5.847,8.047,10.286,10.35,30.386,10.609,6.576,8.17,4.616,100,4.333,5.041,6.188,8.84,10.355,10.341,29.238,10.413,6.718,8.165,4.702,100,4.284,5.246,6.411,7.815,9.115,9.953,31.55,10.397,6.77,7.97,4.773,100,4.122,4.908,6.498,8.702,8.774,10.338,32.238,9.945,6.559,7.658,4.382,100,4.137,5.184,6.156,6.867,8.89,11.357,32.895,10.093,6.68,7.617,4.261,100,4.032,5.328,6.219,5.945,8.202,12.884,32.97,9.82,6.8,7.568,4.264,100,3.946,5.278,5.904,5.543,7.747,15.902,31.84,9.871,6.518,7.336,4.061,100,3.938,5.102,5.585,5.927,7.341,16.346,32.81,9.886,6.517,6.868,3.618,100,4.055,5.573,5.663,5.522,7.605,14.996,34.157,10.223,6.167,6.747,3.346,100,3.786,5.288,5.586,4.908,7.346,14.977,34.97,10.298,6.279,6.529,3.819,100,3.596,5.444,5.849,4.4,6.681,13.751,36.959,10.035,6.473,6.494,3.913,100,3.535,5.361,5.957,5.781,5.922,13.019,36.582,9.919,6.385,6.495,4.581,100,3.496,5.045,6.494,3.674,5.616,9.706,37.652,11.614,7.253,8.235,4.712,100,2.862,5.493,7.043,2.993,5.169,8.433,41.844,11.547,6.142,7.276,4.059,100,2.939,6.118,7.14,2.017,5.56,9.672,40.39,11.216,7.623,6.522,3.742,100,3.018,6.585,8.086,1.876,4.743,9.671,39.221,11.463,7.582,6.871,3.901,100,2.878
Distribución del sector por áreas generales y contribución del sector en la economía (porcentaje)|Nacional|Zacatecas,6.038,2.39,13.01,11.637,12.732,7.305,5.292,17.931,8.459,15.206,100,3.565,5.616,2.591,14.083,11.713,12.97,7.084,5.24,17.519,8.282,14.902,100,3.372,6.236,2.559,12.263,10.534,12.82,7.738,5.603,18.454,8.315,15.479,100,2.881,6.101,2.179,14.299,10.049,14.014,7.872,5.216,18.179,7.9,14.192,100,2.731,6.44,2.196,11.205,10.751,14.182,8.437,5.476,19.655,8.187,13.472,100,2.592,6.659,2.078,9.987,9.96,15.588,8.478,5.265,20.227,8.177,13.582,100,2.801,6.637,1.878,9.7,9.612,17.925,8.536,5.341,19.106,8.01,13.255,100,2.747,6.471,1.905,10.446,9.282,18.357,8.48,5.741,19.624,7.607,12.087,100,2.749,7.004,2.07,10.121,9.742,17.574,8.716,6.046,19.296,7.613,11.816,100,2.417,7.334,2.172,9.15,9.582,16.856,9.618,6.013,19.883,7.317,12.075,100,2.294,7.525,2.457,8.32,8.909,16.496,9.818,6.081,20.67,7.566,12.16,100,2.261,6.862,1.842,12.314,8.412,15.252,10.049,5.982,21.381,7.546,10.359,100,2.309,10.249,8.57,7.923,7.04,11.222,11.075,6.218,14.215,8.955,14.533,100,1.904,7.267,2.063,6.484,8.388,12.692,13.791,8.048,13.718,9.928,17.621,100,1.554,7.809,1.656,2.988,9.12,11.922,12.349,7.943,24.321,7.869,14.023,100,1.817,9.567,4.115,2.56,8.241,11.811,11.838,7.362,22.039,8.028,14.439,100,1.878
